"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
353,163.3139,260.0101,423.3240,0.105252,0.107326,0.107326,0.116653,0.185722,0.185722,12.6400,20.1240,32.7640,0.286485,0.465096,0.751581,44.1211,43.2684,0.105252,0.107326,0.107326,163.3139,260.0101,163.3139,260.0101,423.3240
355,260.0101,163.3139,423.3240,0.137521,0.134863,0.137521,0.185722,0.116653,0.185722,25.7857,16.1962,41.9819,0.595947,0.367085,0.963032,43.2685,44.1211,0.137521,0.134863,0.137521,260.0101,163.3139,260.0101,163.3139,423.3240
357,115.3608,236.0101,351.3709,0.0215681,0.0220537,0.0220537,0.0824006,0.168579,0.168579,1.84427,3.77309,5.61737,0.0414686,0.0867483,0.128217,44.4740,43.4947,0.0215681,0.0220537,0.0220537,115.3608,236.0101,115.3608,236.0101,351.3709
359,114.7608,203.6101,318.3709,0.129275,0.131319,0.131319,0.081972,0.145436,0.145436,10.9978,19.5124,30.5101,0.247262,0.445633,0.692895,44.4781,43.7857,0.129275,0.131319,0.131319,114.7608,203.6101,114.7608,203.6101,318.3709
361,46.4926,63.8869,110.3795,0.270275,0.270773,0.270773,0.033209,0.0456335,0.0456335,9.39593,12.9112,22.3072,0.20943,0.288315,0.497745,44.8642,44.7817,0.270275,0.270773,0.270773,46.4926,63.8869,46.4926,63.8869,110.3795
363,176.8477,231.5028,408.3505,0.167442,0.169271,0.169271,0.12632,0.165359,0.165359,21.7211,28.4341,50.1552,0.493528,0.653113,1.14664,44.0120,43.5363,0.167442,0.169271,0.169271,176.8477,231.5028,176.8477,231.5028,408.3505
365,178.6477,232.8598,411.5076,0.0877501,0.0887046,0.0887046,0.127606,0.166328,0.166328,11.4953,14.9836,26.4789,0.261273,0.344262,0.605535,43.9972,43.5238,0.0877501,0.0887046,0.0887046,178.6477,232.8598,178.6477,232.8598,411.5076
367,178.6477,232.8598,411.5076,0.215993,0.218343,0.218343,0.127606,0.166328,0.166328,28.2951,36.8815,65.1766,0.643111,0.847387,1.4905,43.9972,43.5238,0.215993,0.218343,0.218343,178.6477,232.8598,178.6477,232.8598,411.5076
369,178.6477,232.8598,411.5076,0.168834,0.170671,0.170671,0.127606,0.166328,0.166328,22.1173,28.8290,50.9463,0.502698,0.662373,1.16507,43.9972,43.5238,0.168834,0.170671,0.170671,178.6477,232.8598,178.6477,232.8598,411.5076
371,516.3275,1400.6317,1916.9592,0.332856,0.449103,0.449103,0.368805,1.00045,1.00045,115.9160,314.4432,430.3593,2.86438,10.4838,13.3482,40.4681,29.9932,0.332856,0.449103,0.449103,516.3275,1400.6317,516.3275,1400.6317,1916.9592
373,86.6183,237.2523,323.8706,0.0776812,0.0797769,0.0797769,0.0618702,0.169466,0.169466,5.00792,13.7170,18.7249,0.112144,0.315454,0.427598,44.6564,43.4832,0.0776812,0.0797769,0.0797769,86.6183,237.2523,86.6183,237.2523,323.8706
375,1406.3132,425.5872,1831.9004,0.0905379,0.0652695,0.0905379,1.00451,0.303991,1.00451,63.5189,19.2225,82.7414,2.12208,0.462965,2.58504,29.9324,41.5205,0.0905379,0.0652695,0.0905379,1406.3132,425.5872,1406.3132,425.5872,1831.9004
377,232.8598,178.6477,411.5076,0.0555572,0.0549594,0.0555572,0.166328,0.127606,0.166328,9.38448,7.19968,16.5842,0.215617,0.163639,0.379257,43.5238,43.9972,0.0555572,0.0549594,0.0555572,232.8598,178.6477,232.8598,178.6477,411.5076
379,86.6183,237.2523,323.8706,0.153183,0.157316,0.157316,0.0618702,0.169466,0.169466,9.87535,27.0491,36.9245,0.221141,0.622059,0.8432,44.6564,43.4832,0.153183,0.157316,0.157316,86.6183,237.2523,86.6183,237.2523,323.8706
381,86.6183,237.2523,323.8706,0.158316,0.162587,0.162587,0.0618702,0.169466,0.169466,10.2062,27.9554,38.1617,0.22855,0.642901,0.871452,44.6564,43.4832,0.158316,0.162587,0.162587,86.6183,237.2523,86.6183,237.2523,323.8706
