"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
73,1,0.0866494,84,55,56,1300,0.086649,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.173298,0.173298,,,1,73,0.0000,,0.0000,0.173298,,0.173298,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.173298,,0.173298
74,0,0.037964,85,57,58,1300,0.037964,30,1,4,75,86,58,57,1300,0.037964,30,1,4,0.075928,0.0774758,0.075928,0.0759847,0,74,371.2235,71.0503,442.2738,0.0774758,0.0759847,0.0774758,0.285557,0.0546541,0.285557,14.0931,2.69735,16.7905,0.479348,0.089979,0.569327,29.4006,29.9776,0.0774758,0.0759847,0.0774758
76,0,0.0513611,87,57,59,1300,0.051361,30,1,4,77,88,59,57,1300,0.051361,30,1,4,0.102722,0.102799,0.102722,0.104816,0,76,71.0503,371.2235,442.2738,0.102799,0.104816,0.104816,0.0546541,0.285557,0.285557,3.64922,19.0664,22.7156,0.121731,0.648503,0.770234,29.9776,29.4006,0.102799,0.104816,0.104816
78,0,0.0536814,89,60,61,4000,0.053681,45,2,3,79,90,61,60,4000,0.053681,45,2,3,0.0715747,0.0809755,0.0715747,0.0736021,0,78,2899.3102,1346.4361,4245.7463,0.0809755,0.0736021,0.0809755,0.724828,0.336609,0.724828,155.6379,72.2780,227.9159,3.91289,1.65168,5.56456,39.7757,43.7604,0.0809755,0.0736021,0.0809755
80,0,0.0528194,91,60,62,4000,0.052819,45,2,3,81,92,62,60,4000,0.052819,45,2,3,0.0704253,0.0724202,0.0704253,0.0796753,0,80,1346.4361,2899.3102,4245.7463,0.0724202,0.0796753,0.0796753,0.336609,0.724828,0.724828,71.1174,153.1387,224.2561,1.62515,3.85005,5.47521,43.7604,39.7757,0.0724202,0.0796753,0.0796753
82,0,0.0511543,93,63,64,1300,0.051154,30,1,5,83,94,64,63,1300,0.051154,30,1,5,0.102308,0.105282,0.102308,0.102359,0,82,443.2602,58.2000,501.4602,0.105282,0.102359,0.105282,0.340969,0.0447692,0.340969,22.6745,2.97716,25.6517,0.777786,0.0992885,0.877074,29.1527,29.9850,0.105282,0.102359,0.105282
84,0,0.0326251,95,63,65,1300,0.032625,30,1,5,85,96,65,63,1300,0.032625,30,1,5,0.06525,0.0652827,0.06525,0.0671248,0,84,58.2000,440.7133,498.9133,0.0652827,0.0671248,0.0671248,0.0447692,0.33901,0.33901,1.89878,14.3783,16.2770,0.0633242,0.493046,0.55637,29.9850,29.1621,0.0652827,0.0671248,0.0671248
86,1,0.222579,97,66,67,4000,0.222579,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.296772,0.468379,,,1,86,6083.3920,,6083.3920,0.468379,,0.468379,1.52085,,1.52085,1354.0353,,1354.0353,47.4889,,47.4889,28.5127,,0.468379,,0.468379
87,1,0.020054,98,68,69,1300,0.020054,30,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.040108,0.0401152,,,1,87,34.8271,,34.8271,0.0401152,,0.0401152,0.0267901,,0.0267901,0.698423,,0.698423,0.0232849,,0.0232849,29.9946,,0.0401152,,0.0401152
88,1,0.0692166,99,70,71,1300,0.069217,30,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.138434,0.138459,,,1,88,34.8271,,34.8271,0.138459,,0.138459,0.0267901,,0.0267901,2.41063,,2.41063,0.0803687,,0.0803687,29.9946,,0.138459,,0.138459
89,1,0.0601887,100,72,73,1300,0.060189,30,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.120378,0.120378,,,1,89,0.0000,,0.0000,0.120378,,0.120378,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.120378,,0.120378
90,1,0.0700637,101,72,68,1300,0.070064,30,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.140128,0.140153,,,1,90,34.8271,,34.8271,0.140153,,0.140153,0.0267901,,0.0267901,2.44013,,2.44013,0.0813521,,0.0813521,29.9946,,0.140153,,0.140153
91,1,0.0582373,102,74,75,6600,0.058237,60,3,2,,-1,-1,-1,-1,,-1,-1,-1,0.058237,0.0653152,,,1,91,4601.8745,,4601.8745,0.0653152,,0.0653152,0.697254,,0.697254,267.9994,,267.9994,5.00954,,5.00954,53.4978,,0.0653152,,0.0653152
92,1,0.0128427,103,75,76,6600,0.012843,60,3,2,,-1,-1,-1,-1,,-1,-1,-1,0.012843,0.0144039,,,1,92,4601.8745,,4601.8745,0.0144039,,0.0144039,0.697254,,0.697254,59.1019,,59.1019,1.10475,,1.10475,53.4978,,0.0144039,,0.0144039
93,0,0.107039,104,77,78,1300,0.107039,30,1,5,94,105,78,77,1300,0.107039,30,1,5,0.214078,0.219518,0.214078,0.218636,0,93,414.4653,379.3869,793.8522,0.219518,0.218636,0.219518,0.318819,0.291836,0.318819,44.3639,40.6092,84.9731,1.51638,1.38246,2.89884,29.2565,29.3746,0.219518,0.218636,0.219518
95,1,0.0777921,106,76,79,6600,0.077792,60,3,2,,-1,-1,-1,-1,,-1,-1,-1,0.077792,0.0872469,,,1,95,4601.8745,,4601.8745,0.0872469,,0.0872469,0.697254,,0.697254,357.9890,,357.9890,6.69165,,6.69165,53.4978,,0.0872469,,0.0872469
96,1,0.0380788,107,80,81,1300,0.038079,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.076158,0.0765486,,,1,96,186.1939,,186.1939,0.0765486,,0.0765486,0.143226,,0.143226,7.09008,,7.09008,0.237548,,0.237548,29.8469,,0.0765486,,0.0765486
97,0,0.0255143,108,82,83,1300,0.025514,30,1,5,98,109,83,82,1300,0.025514,30,1,5,0.051028,0.051028,0.051028,0.0634788,0,97,0.0000,1284.3046,1284.3046,0.051028,0.0634788,0.0634788,0.0000,0.987927,0.987927,0.0000,32.7677,32.7677,0.0000,1.35877,1.35877,30.0000,24.1158,0.051028,0.0634788,0.0634788
99,1,0.147511,110,82,84,1300,0.147511,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.295022,0.367007,,,1,99,1284.3046,,1284.3046,0.367007,,0.367007,0.987927,,0.987927,189.4491,,189.4491,7.85582,,7.85582,24.1158,,0.367007,,0.367007
100,1,0.0799622,111,85,86,1300,0.079962,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.159924,0.159925,,,1,100,7.2,,7.2,0.159925,,0.159925,0.00553846,,0.00553846,0.575726,,0.575726,0.019191,,0.019191,29.9998,,0.159925,,0.159925
101,0,0.134712,112,77,87,1300,0.134712,30,1,5,102,113,87,77,1300,0.134712,30,1,5,0.269424,0.275161,0.269424,0.27627,0,101,379.3869,414.4653,793.8522,0.275161,0.27627,0.27627,0.291836,0.318819,0.318819,51.1080,55.8334,106.9414,1.73987,1.90841,3.64828,29.3746,29.2565,0.275161,0.27627,0.27627
103,0,0.0268147,114,85,88,1300,0.026815,30,1,5,104,115,88,85,1300,0.026815,30,1,5,0.05363,0.053638,0.05363,0.05363,0,103,31.8000,0.0000,31.8000,0.053638,0.05363,0.053638,0.0244615,0.0000,0.0244615,0.852717,0.0000,0.852717,0.0284282,0.0000,0.0284282,29.9955,30.0000,0.053638,0.05363,0.053638
105,0,0.0396737,116,89,90,1300,0.039674,30,1,5,106,117,90,89,1300,0.039674,30,1,5,0.079348,0.0795273,0.079348,0.0994366,0,105,123.5879,1308.2193,1431.8072,0.0795273,0.0994366,0.0994366,0.0950676,1.00632,1.00632,4.90322,51.9023,56.8055,0.16381,2.16808,2.33189,29.9324,23.9393,0.0795273,0.0994366,0.0994366
107,0,0.0621373,118,89,91,1300,0.062137,30,1,5,108,119,91,89,1300,0.062137,30,1,5,0.124274,0.155737,0.124274,0.124555,0,107,1308.2193,123.5879,1431.8072,0.155737,0.124555,0.155737,1.00632,0.0950676,1.00632,81.2888,7.67938,88.9682,3.39563,0.256558,3.65219,23.9393,29.9324,0.155737,0.124555,0.155737
109,0,0.166723,120,92,93,1300,0.166723,30,1,4,110,121,93,92,1300,0.166723,30,1,4,0.333446,0.333575,0.333446,0.333479,0,109,51.0802,25.8000,76.8802,0.333575,0.333479,0.333575,0.0392925,0.0198462,0.0392925,8.51625,4.30145,12.8177,0.283985,0.143396,0.427381,29.9884,29.9970,0.333575,0.333479,0.333575
111,0,0.102516,122,92,94,1300,0.102516,30,1,4,112,123,94,92,1300,0.102516,30,1,4,0.205032,0.205052,0.205032,0.205111,0,111,25.8000,51.0802,76.8802,0.205052,0.205111,0.205111,0.0198462,0.0392925,0.0392925,2.64491,5.23654,7.88146,0.0881724,0.174619,0.262791,29.9970,29.9884,0.205052,0.205111,0.205111
