Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
270,204,205,950,87.78,20.0,1,5
271,205,204,950,87.78,20.0,1,5
272,204,206,950,41.42,20.0,1,5
273,206,204,950,41.42,20.0,1,5
274,205,207,950,130.56,20.0,1,5
275,207,205,950,130.56,20.0,1,5
278,208,209,5400,67.09,40.0,2,3
279,210,174,950,78.71,20.0,1,5
280,174,210,950,78.71,20.0,1,5
281,202,211,950,35.49,20.0,1,5
282,211,202,950,35.49,20.0,1,5
283,210,212,950,73.02,20.0,1,5
284,212,210,950,73.02,20.0,1,5
291,174,213,950,92.86,20.0,1,5
292,213,174,950,92.86,20.0,1,5
293,214,215,950,37.83,20.0,1,5
294,216,217,950,102.82,20.0,1,4
295,218,215,950,74.03,20.0,1,5
296,219,220,950,39.18,20.0,1,5
297,220,219,950,39.18,20.0,1,5
298,219,221,950,35.86,20.0,1,5
299,221,219,950,35.86,20.0,1,5
300,222,223,950,30.05,20.0,1,5
301,223,222,950,30.05,20.0,1,5
302,222,224,950,35.47,20.0,1,5
303,224,222,950,35.47,20.0,1,5
304,223,225,950,25.07,20.0,1,5
305,225,223,950,25.07,20.0,1,5
308,226,227,950,52.86,20.0,1,4
309,228,229,950,171.58,20.0,1,5
310,229,228,950,171.58,20.0,1,5
311,228,230,950,285.63,20.0,1,5
312,230,228,950,285.63,20.0,1,5
313,231,232,950,141.39,20.0,1,4
314,233,234,950,90.5,20.0,1,4
315,235,236,950,67.46,20.0,1,5
316,236,235,950,67.46,20.0,1,5
317,235,237,950,69.75,20.0,1,5
318,237,235,950,69.75,20.0,1,5
319,238,239,5400,349.84,40.0,2,3
320,240,241,950,17.09,20.0,1,4
321,241,240,950,17.09,20.0,1,4
322,240,242,950,47.96,20.0,1,4
323,242,240,950,47.96,20.0,1,4
324,243,244,950,148.21,20.0,1,5
325,244,243,950,148.21,20.0,1,5
326,243,245,950,77.72,20.0,1,5
327,245,243,950,77.72,20.0,1,5
328,246,247,950,73.59,20.0,1,4
329,248,249,5400,111.52,40.0,2,3
330,250,156,950,72.58,20.0,1,5
331,156,250,950,72.58,20.0,1,5
332,250,159,950,105.96,20.0,1,5
333,159,250,950,105.96,20.0,1,5
334,251,252,950,73.97,20.0,1,5
335,252,251,950,73.97,20.0,1,5
336,251,115,950,72.76,20.0,1,5
337,115,251,950,72.76,20.0,1,5
346,253,254,950,36.34,20.0,1,5
347,254,253,950,36.34,20.0,1,5
348,253,255,950,72.33,20.0,1,5
349,255,253,950,72.33,20.0,1,5
350,256,257,950,80.29,20.0,1,5
351,257,256,950,80.29,20.0,1,5
352,256,258,950,82.01,20.0,1,5
353,258,256,950,82.01,20.0,1,5
354,259,260,950,78.49,20.0,1,5
355,260,259,950,78.49,20.0,1,5
358,255,261,950,91.67,20.0,1,5
359,261,255,950,91.67,20.0,1,5
360,259,262,950,75.43,20.0,1,5
361,262,259,950,75.43,20.0,1,5
362,263,264,950,115.46,20.0,1,5
363,264,263,950,115.46,20.0,1,5
364,263,265,950,94.09,20.0,1,5
365,265,263,950,94.09,20.0,1,5
366,266,267,950,56.04,20.0,1,5
367,267,266,950,56.04,20.0,1,5
368,266,268,950,137.31,20.0,1,5
369,268,266,950,137.31,20.0,1,5
372,267,269,950,113.91,20.0,1,5
373,269,267,950,113.91,20.0,1,5
374,270,271,950,95.35,20.0,1,5
375,271,270,950,95.35,20.0,1,5
376,270,272,950,114.51,20.0,1,5
377,272,270,950,114.51,20.0,1,5
380,265,273,950,76.78,20.0,1,5
381,273,265,950,76.78,20.0,1,5
382,274,275,950,159.53,20.0,1,4
383,276,277,950,91.25,20.0,1,5
384,277,276,950,91.25,20.0,1,5
385,276,278,950,39.68,20.0,1,5
386,278,276,950,39.68,20.0,1,5
387,276,279,950,41.98,20.0,1,5
388,280,281,950,70.98,20.0,1,4
389,281,280,950,70.98,20.0,1,4
390,280,282,950,64.47,20.0,1,4
391,282,280,950,64.47,20.0,1,4
394,258,166,950,58.44,20.0,1,5
395,166,258,950,58.44,20.0,1,5
396,258,283,950,80.26,20.0,1,5
397,283,258,950,80.26,20.0,1,5
402,284,285,950,67.62,20.0,1,5
403,285,284,950,67.62,20.0,1,5
404,284,286,950,97.1,20.0,1,5
405,286,284,950,97.1,20.0,1,5
406,285,287,950,79.14,20.0,1,5
407,287,285,950,79.14,20.0,1,5
410,8,288,950,22.64,20.0,1,5
411,288,8,950,22.64,20.0,1,5
414,289,290,950,78.74,20.0,1,5
415,290,289,950,78.74,20.0,1,5
416,289,291,950,93.33,20.0,1,5
417,291,289,950,93.33,20.0,1,5
418,292,293,5400,65.46,40.0,2,3
419,294,295,950,113.42,20.0,1,5
420,295,294,950,113.42,20.0,1,5
421,294,296,950,234.68,20.0,1,5
422,296,294,950,234.68,20.0,1,5
423,297,298,950,87.57,20.0,1,5
424,298,297,950,87.57,20.0,1,5
425,297,299,950,251.05,20.0,1,5
426,299,297,950,251.05,20.0,1,5
427,297,300,950,92.51,20.0,1,5
428,300,297,950,92.51,20.0,1,5
429,297,301,950,63.22,20.0,1,5
430,301,297,950,63.22,20.0,1,5
433,300,302,950,21.1,20.0,1,5
434,302,300,950,21.1,20.0,1,5
435,303,304,5400,95.65,40.0,2,3
436,305,306,950,73.59,20.0,1,5
437,306,305,950,73.59,20.0,1,5
438,305,307,950,72.66,20.0,1,5
439,307,305,950,72.66,20.0,1,5
440,308,309,950,178.55,20.0,1,4
441,309,308,950,178.55,20.0,1,4
442,308,310,950,57.69,20.0,1,4
443,310,308,950,57.69,20.0,1,4
444,311,211,950,68.45,20.0,1,5
445,211,311,950,68.45,20.0,1,5
446,312,313,950,95.01,20.0,1,5
447,312,314,950,126.42,20.0,1,4
448,314,312,950,126.42,20.0,1,4
449,312,315,950,160.13,20.0,1,5
450,315,312,950,160.13,20.0,1,5
451,312,316,950,51.26,20.0,1,4
452,316,312,950,51.26,20.0,1,4
453,311,317,950,67.46,20.0,1,5
454,317,311,950,67.46,20.0,1,5
455,318,319,950,18.42,20.0,1,5
456,319,318,950,18.42,20.0,1,5
457,318,287,950,71.38,20.0,1,5
458,287,318,950,71.38,20.0,1,5
459,320,321,9900,130.17,60.0,3,2
460,322,323,950,96.55,20.0,1,5
461,323,322,950,96.55,20.0,1,5
462,322,315,950,145.08,20.0,1,5
463,315,322,950,145.08,20.0,1,5
464,304,324,5400,104.31,40.0,2,3
465,298,325,950,33.2,20.0,1,5
466,325,298,950,33.2,20.0,1,5
469,326,327,950,95.73,20.0,1,4
470,327,326,950,95.73,20.0,1,4
471,326,328,950,91.6,20.0,1,4
472,328,326,950,91.6,20.0,1,4
473,329,330,950,39.19,20.0,1,4
474,330,329,950,39.19,20.0,1,4
475,329,331,950,40.33,20.0,1,4
476,331,329,950,40.33,20.0,1,4
479,225,332,950,19.98,20.0,1,5
480,332,225,950,19.98,20.0,1,5
481,333,334,950,34.46,20.0,1,4
482,334,333,950,34.46,20.0,1,4
483,333,335,950,94.33,20.0,1,4
484,335,333,950,94.33,20.0,1,4
485,336,337,950,67.36,20.0,1,5
486,337,336,950,67.36,20.0,1,5
487,336,338,950,68.07,20.0,1,5
488,338,336,950,68.07,20.0,1,5
489,339,340,5400,132.11,40.0,2,3
490,341,342,5400,154.26,40.0,2,3
491,341,98,5400,310.96,40.0,2,3
492,27,343,950,51.57,20.0,1,5
493,343,27,950,51.57,20.0,1,5
498,343,10,950,83.99,20.0,1,5
499,10,343,950,83.99,20.0,1,5
500,344,345,950,21.88,20.0,1,5
501,345,344,950,21.88,20.0,1,5
502,346,347,5400,30.86,40.0,2,3
503,348,349,950,57.11,20.0,1,5
504,344,350,950,158.26,20.0,1,5
505,350,344,950,158.26,20.0,1,5
508,34,351,950,66.59,20.0,1,5
509,351,34,950,66.59,20.0,1,5
510,352,353,950,16.61,20.0,1,4
511,353,352,950,16.61,20.0,1,4
512,352,354,950,44.66,20.0,1,4
513,354,352,950,44.66,20.0,1,4
514,352,355,5400,197.56,40.0,2,3
515,354,356,950,5.94,20.0,1,4
516,356,354,950,5.94,20.0,1,4
519,357,4,950,269.58,20.0,1,5
520,357,358,950,86.26,20.0,1,5
521,358,357,950,86.26,20.0,1,5
522,357,359,950,39.06,20.0,1,5
523,359,357,950,39.06,20.0,1,5
524,360,361,5400,54.74,40.0,2,3
525,362,288,950,52.02,20.0,1,5
526,288,362,950,52.02,20.0,1,5
527,362,363,950,42.97,20.0,1,5
528,363,362,950,42.97,20.0,1,5
529,364,365,950,94.92,20.0,1,5
530,365,364,950,94.92,20.0,1,5
531,364,366,950,77.57,20.0,1,5
532,366,364,950,77.57,20.0,1,5
533,360,367,5400,119.81,40.0,2,3
536,363,323,950,37.01,20.0,1,5
537,323,363,950,37.01,20.0,1,5
538,368,369,5400,46.99,40.0,2,3
539,370,371,950,63.77,20.0,1,5
540,371,370,950,63.77,20.0,1,5
541,370,372,950,111.04,20.0,1,5
542,372,370,950,111.04,20.0,1,5
543,373,374,5400,534.72,40.0,2,3
544,375,376,950,11.9,20.0,1,4
545,376,375,950,11.9,20.0,1,4
546,375,377,950,45.67,20.0,1,4
547,377,375,950,45.67,20.0,1,4
548,375,373,5400,66.46,40.0,2,3
549,377,373,5400,69.55,40.0,2,3
552,377,378,950,64.73,20.0,1,4
553,378,377,950,64.73,20.0,1,4
554,379,380,950,97.33,20.0,1,5
555,380,379,950,97.33,20.0,1,5
556,379,381,950,106.76,20.0,1,5
557,381,379,950,106.76,20.0,1,5
558,380,382,950,20.79,20.0,1,5
559,382,380,950,20.79,20.0,1,5
562,383,384,950,67.2,20.0,1,5
563,384,383,950,67.2,20.0,1,5
564,383,385,950,123.7,20.0,1,5
565,385,383,950,123.7,20.0,1,5
566,384,386,950,71.08,20.0,1,5
567,386,384,950,71.08,20.0,1,5
570,387,388,950,42.04,20.0,1,5
571,388,387,950,42.04,20.0,1,5
572,387,389,950,178.67,20.0,1,5
573,389,387,950,178.67,20.0,1,5
574,386,390,950,70.79,20.0,1,5
575,390,386,950,70.79,20.0,1,5
578,391,392,950,281.82,20.0,1,5
579,392,391,950,281.82,20.0,1,5
580,391,393,950,217.81,20.0,1,5
581,393,391,950,217.81,20.0,1,5
582,394,395,950,208.41,20.0,1,5
583,395,394,950,208.41,20.0,1,5
584,394,396,950,106.95,20.0,1,5
585,396,394,950,106.95,20.0,1,5
586,397,398,950,49.43,20.0,1,5
587,398,397,950,49.43,20.0,1,5
590,392,399,950,20.8,20.0,1,5
591,397,400,950,265.77,20.0,1,5
592,400,397,950,265.77,20.0,1,5
593,401,402,950,45.01,20.0,1,5
594,402,401,950,45.01,20.0,1,5
595,401,403,950,67.08,20.0,1,5
596,403,401,950,67.08,20.0,1,5
597,404,405,9900,14.05,60.0,3,2
598,404,406,950,13.31,20.0,1,5
599,406,404,950,13.31,20.0,1,5
600,404,407,950,98.07,20.0,1,5
601,408,409,950,175.4,20.0,1,4
602,410,411,5400,84.29,40.0,2,3
603,411,167,5400,78.55,40.0,2,3
604,412,413,950,135.74,20.0,1,4
