ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
187,0.828088,0.0,0.828088,0.0345224,0.0345223,0.0345224,0.000591492,0.0,0.000591492,0.016676,0.0,0.016676,0.00047646,0.0,0.00047646,34.9999,35.0,0.0345224,0.0345223,0.0345224
189,0.0,0.828088,0.828088,0.294015,0.294016,0.294016,0.0,0.000591492,0.000591492,0.0,0.142025,0.142025,0.0,0.00405786,0.00405786,35.0,34.9999,0.294015,0.294016,0.294016
191,0.0,0.828088,0.828088,0.254844,0.254845,0.254845,0.0,0.000591492,0.000591492,0.0,0.123103,0.123103,0.0,0.00351723,0.00351723,35.0,34.9999,0.254844,0.254845,0.254845
193,9.6,57.8281,67.4281,0.174462,0.174735,0.174735,0.00685714,0.0413058,0.0413058,0.976877,5.88447,6.86135,0.0279139,0.16841,0.196324,34.996,34.9413,0.174462,0.174735,0.174735
195,57.8281,9.6,67.4281,0.334009,0.333487,0.334009,0.0413058,0.00685714,0.0413058,11.2483,1.86732,13.1156,0.321918,0.0533579,0.375276,34.9413,34.996,0.334009,0.333487,0.334009
197,9.6,57.8281,67.4281,0.330135,0.330652,0.330652,0.00685714,0.0413058,0.0413058,1.84855,11.1352,12.9838,0.0528216,0.318683,0.371504,34.996,34.9413,0.330135,0.330652,0.330652
199,9.6,57.8281,67.4281,0.168389,0.168653,0.168653,0.00685714,0.0413058,0.0413058,0.942874,5.67964,6.62252,0.0269423,0.162548,0.18949,34.996,34.9413,0.168389,0.168653,0.168653
201,0.0,0.0,0.0,0.148517,0.148517,0.148517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.148517,0.148517,0.148517
203,9.6,49.8,59.4,0.409949,0.410453,0.410453,0.00685714,0.0355714,0.0355714,2.29546,11.9077,14.2031,0.0655919,0.340676,0.406268,34.996,34.9531,0.409949,0.410453,0.410453
205,49.8,9.6,59.4,0.111683,0.111546,0.111683,0.0355714,0.00685714,0.0355714,3.24004,0.624586,3.86462,0.0926967,0.0178473,0.110544,34.9531,34.996,0.111683,0.111546,0.111683
207,9.6,49.8,59.4,0.186659,0.186888,0.186888,0.00685714,0.0355714,0.0355714,1.04517,5.42183,6.467,0.0298654,0.155117,0.184983,34.996,34.9531,0.186659,0.186888,0.186888
