ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
67,0.0,0.0,0.0,0.021844,0.021844,0.021844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.021844,0.021844,0.021844
69,3.0,1.2,4.2,0.0526641,0.052664,0.0526641,0.00230769,0.000923077,0.00230769,0.078996,0.0315984,0.110594,0.0026332,0.00105328,0.00368648,30.0,30.0,0.0526641,0.052664,0.0526641
71,1.2,3.0,4.2,0.190018,0.190018,0.190018,0.000923077,0.00230769,0.00230769,0.114011,0.285027,0.399038,0.00380036,0.00950091,0.0133013,30.0,30.0,0.190018,0.190018,0.190018
73,0.0,0.0,0.0,0.173298,0.0,0.173298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.173298,0.0,0.173298
74,371.2235,71.0503,442.2738,0.0774758,0.0759847,0.0774758,0.285557,0.0546541,0.285557,14.0931,2.69735,16.7905,0.479348,0.089979,0.569327,29.4006,29.9776,0.0774758,0.0759847,0.0774758
76,71.0503,371.2235,442.2738,0.102799,0.104816,0.104816,0.0546541,0.285557,0.285557,3.64922,19.0664,22.7156,0.121731,0.648503,0.770234,29.9776,29.4006,0.102799,0.104816,0.104816
78,2899.3102,1346.4361,4245.7463,0.0809755,0.0736021,0.0809755,0.724828,0.336609,0.724828,155.6379,72.278,227.9159,3.91289,1.65168,5.56456,39.7757,43.7604,0.0809755,0.0736021,0.0809755
80,1346.4361,2899.3102,4245.7463,0.0724202,0.0796753,0.0796753,0.336609,0.724828,0.724828,71.1174,153.1387,224.2561,1.62515,3.85005,5.47521,43.7604,39.7757,0.0724202,0.0796753,0.0796753
82,443.2602,58.2,501.4602,0.105282,0.102359,0.105282,0.340969,0.0447692,0.340969,22.6745,2.97716,25.6517,0.777786,0.0992885,0.877074,29.1527,29.985,0.105282,0.102359,0.105282
84,58.2,440.7133,498.9133,0.0652827,0.0671248,0.0671248,0.0447692,0.33901,0.33901,1.89878,14.3783,16.277,0.0633242,0.493046,0.55637,29.985,29.1621,0.0652827,0.0671248,0.0671248
86,6083.392,0.0,6083.392,0.468379,0.0,0.468379,1.52085,0.0,1.52085,1354.0353,0.0,1354.0353,47.4889,0.0,47.4889,28.5127,0.0,0.468379,0.0,0.468379
87,34.8271,0.0,34.8271,0.0401152,0.0,0.0401152,0.0267901,0.0,0.0267901,0.698423,0.0,0.698423,0.0232849,0.0,0.0232849,29.9946,0.0,0.0401152,0.0,0.0401152
88,34.8271,0.0,34.8271,0.138459,0.0,0.138459,0.0267901,0.0,0.0267901,2.41063,0.0,2.41063,0.0803687,0.0,0.0803687,29.9946,0.0,0.138459,0.0,0.138459
89,0.0,0.0,0.0,0.120378,0.0,0.120378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.120378,0.0,0.120378
90,34.8271,0.0,34.8271,0.140153,0.0,0.140153,0.0267901,0.0,0.0267901,2.44013,0.0,2.44013,0.0813521,0.0,0.0813521,29.9946,0.0,0.140153,0.0,0.140153
91,4601.8745,0.0,4601.8745,0.0653152,0.0,0.0653152,0.697254,0.0,0.697254,267.9994,0.0,267.9994,5.00954,0.0,5.00954,53.4978,0.0,0.0653152,0.0,0.0653152
92,4601.8745,0.0,4601.8745,0.0144039,0.0,0.0144039,0.697254,0.0,0.697254,59.1019,0.0,59.1019,1.10475,0.0,1.10475,53.4978,0.0,0.0144039,0.0,0.0144039
93,414.4653,379.3869,793.8522,0.219518,0.218636,0.219518,0.318819,0.291836,0.318819,44.3639,40.6092,84.9731,1.51638,1.38246,2.89884,29.2565,29.3746,0.219518,0.218636,0.219518
95,4601.8745,0.0,4601.8745,0.0872469,0.0,0.0872469,0.697254,0.0,0.697254,357.989,0.0,357.989,6.69165,0.0,6.69165,53.4978,0.0,0.0872469,0.0,0.0872469
96,186.1939,0.0,186.1939,0.0765486,0.0,0.0765486,0.143226,0.0,0.143226,7.09008,0.0,7.09008,0.237548,0.0,0.237548,29.8469,0.0,0.0765486,0.0,0.0765486
97,0.0,1284.3046,1284.3046,0.051028,0.0634788,0.0634788,0.0,0.987927,0.987927,0.0,32.7677,32.7677,0.0,1.35877,1.35877,30.0,24.1158,0.051028,0.0634788,0.0634788
99,1284.3046,0.0,1284.3046,0.367007,0.0,0.367007,0.987927,0.0,0.987927,189.4491,0.0,189.4491,7.85582,0.0,7.85582,24.1158,0.0,0.367007,0.0,0.367007
100,7.2,0.0,7.2,0.159925,0.0,0.159925,0.00553846,0.0,0.00553846,0.575726,0.0,0.575726,0.019191,0.0,0.019191,29.9998,0.0,0.159925,0.0,0.159925
101,379.3869,414.4653,793.8522,0.275161,0.27627,0.27627,0.291836,0.318819,0.318819,51.108,55.8334,106.9414,1.73987,1.90841,3.64828,29.3746,29.2565,0.275161,0.27627,0.27627
