ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
91,0.0,0.0,0.0,0.0344023,0.0344023,0.0344023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0344023,0.0344023,0.0344023
93,0.0,0.0,0.0,0.0665211,0.0665211,0.0665211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0665211,0.0665211,0.0665211
95,0.0,0.0,0.0,0.102449,0.102449,0.102449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.102449,0.102449,0.102449
97,0.0,0.0,0.0,0.0131143,0.0131143,0.0131143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0131143,0.0131143,0.0131143
99,0.0,0.0,0.0,0.0119846,0.0119846,0.0119846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0119846,0.0119846,0.0119846
101,225.3974,0.0,225.3974,0.348505,0.327953,0.348505,0.250442,0.0,0.250442,43.1199,0.0,43.1199,1.3092,0.0,1.3092,32.936,35.0,0.348505,0.327953,0.348505
103,0.0,0.0,0.0,0.0944726,0.0944726,0.0944726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0944726,0.0944726,0.0944726
105,0.0,0.0,0.0,0.122775,0.122775,0.122775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.122775,0.122775,0.122775
107,0.0,0.0,0.0,0.102297,0.102297,0.102297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.102297,0.102297,0.102297
109,0.0,0.0,0.0,0.154745,0.154745,0.154745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.154745,0.154745,0.154745
111,0.0,0.0,0.0,0.0644417,0.0644417,0.0644417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0644417,0.0644417,0.0644417
113,0.0,0.0,0.0,0.10169,0.10169,0.10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.10169,0.10169,0.10169
115,2.4,12.6,15.0,0.0277425,0.0277635,0.0277635,0.00266667,0.014,0.014,0.0388368,0.203893,0.24273,0.0011097,0.00583034,0.00694004,34.9976,34.971,0.0277425,0.0277635,0.0277635
117,12.6,2.4,15.0,0.0568585,0.0568153,0.0568585,0.014,0.00266667,0.014,0.417564,0.079536,0.4971,0.0119403,0.00227261,0.0142129,34.971,34.9976,0.0568585,0.0568153,0.0568585
119,2.4,12.6,15.0,0.0853345,0.0853992,0.0853992,0.00266667,0.014,0.014,0.11946,0.627165,0.746625,0.00341338,0.0179338,0.0213472,34.9976,34.971,0.0853345,0.0853992,0.0853992
121,12.6,2.4,15.0,0.0905292,0.0904605,0.0905292,0.014,0.00266667,0.014,0.664839,0.126636,0.791475,0.0190111,0.00361842,0.0226296,34.971,34.9976,0.0905292,0.0904605,0.0905292
123,2.4,12.6,15.0,0.0786791,0.0787389,0.0787389,0.00266667,0.014,0.014,0.110143,0.578252,0.688395,0.00314717,0.0165352,0.0196823,34.9976,34.971,0.0786791,0.0787389,0.0787389
125,2.4,12.6,15.0,0.0366762,0.0367041,0.0367041,0.00266667,0.014,0.014,0.0513432,0.269552,0.320895,0.00146705,0.00770786,0.00917491,34.9976,34.971,0.0366762,0.0367041,0.0367041
127,12.6,2.4,15.0,0.0844505,0.0843864,0.0844505,0.014,0.00266667,0.014,0.620197,0.118133,0.73833,0.0177346,0.00337546,0.0211101,34.971,34.9976,0.0844505,0.0843864,0.0844505
129,2.4,12.6,15.0,0.141954,0.142062,0.142062,0.00266667,0.014,0.014,0.198722,1.04329,1.24201,0.00567817,0.029833,0.0355112,34.9976,34.971,0.141954,0.142062,0.142062
131,2.4,12.6,15.0,0.0273687,0.0273895,0.0273895,0.00266667,0.014,0.014,0.0383136,0.201146,0.23946,0.00109475,0.0057518,0.00684655,34.9976,34.971,0.0273687,0.0273895,0.0273895
